No,longitude,latitude
1,-121.8641052246090,37.2124938964843
2,-73.9965972900390,40.7279052734375
3,-81.3398971557617,41.6867980957031
4,-21.8085021972656,64.1459960937500
5,-84.5221023559570,42.6425933837890
6,-76.9859008789062,38.6273040771484
7,-74.2152023315429,40.8822937011718
8,-80.8193969726562,35.0892028808593
9,-84.0986022949218,37.1531066894531
10,31.2852020263671,30.0778045654296
11,-121.3348999023430,38.7680053710937
12,-85.6941986083984,38.2200012207031
13,-82.9300003051757,30.0381011962890
14,-73.9965972900390,41.1461944580078
15,-84.2623977661132,36.0130004882812
16,-69.8302001953125,43.9040985107421
17,-84.2242965698242,30.4804992675781
18,-73.9089965820312,40.7465057373046
19,-79.9443969726562,39.6519927978515
20,-81.5870971679687,26.3303985595703
21,-86.4832000732421,30.7772979736328
22,-76.6546020507812,39.4331970214843
23,-116.8578948974600,33.0312957763671
24,-104.9693984985350,39.7066955566406
25,-87.9437026977539,42.9510040283203
26,-95.9717025756835,36.0944061279296
27,-84.0986022949218,37.1531066894531
28,-80.8639984130859,35.5838012695312
29,-81.1219024658203,32.0388031005859
30,-84.5893020629882,33.8983001708984
31,-97.3426971435546,32.8618927001953
32,-73.2153015136718,41.5511016845703
33,-112.0420989990230,33.4412994384765
34,-117.8988037109370,34.1230010986328
35,-115.2004013061520,36.1432952880859
36,-93.6908035278320,42.0514068603515
37,-77.3942031860351,37.5502929687500
38,-71.1620025634765,41.5189971923828
39,-73.9965972900390,40.7279052734375
40,-97.8219985961914,37.7510070800781
41,-118.2420043945310,33.9720001220703
42,-121.8641052246090,37.2124938964843
43,-118.1376037597650,33.7626953125000
44,-76.5389022827148,39.3361053466796
45,-97.8219985961914,37.7510070800781
46,-86.2044982910156,34.2758941650390
47,-97.8219985961914,37.7510070800781
48,-75.8887023925781,41.2722930908203
49,-84.0468978881835,41.3058929443359
50,-97.8219985961914,37.7510070800781
51,-97.8219985961914,37.7510070800781
52,-79.8588027954101,36.0321960449218
53,-97.8219985961914,37.7510070800781
54,-82.9804000854492,37.3359069824218
55,-74.0000000000000,40.7156982421875
56,-93.1912994384765,45.1701049804687
57,-80.4782028198242,27.6410980224609
58,-82.3283996582031,29.6466979980468
59,-74.0000000000000,40.7156982421875
60,-112.3121032714840,33.4792938232421
61,-73.2966003417968,40.7095031738281
62,-82.3283996582031,29.6466979980468
63,-81.8662033081054,40.2738037109375
64,-82.3367004394531,34.3303985595703
65,-96.8805007934570,33.0950927734375
66,-85.5054016113281,40.8811035156250
67,-77.1919021606445,38.8990020751953
68,-74.9041976928710,39.9458007812500
69,-74.0000000000000,40.7156982421875
70,-76.0388031005859,40.3101959228515
71,-74.0000000000000,40.7156982421875
72,-97.8219985961914,37.7510070800781
73,-77.3429031372070,38.9609069824218
74,-74.0475997924804,40.7182006835937
75,-76.7882003784179,40.3403930664062
76,-81.0868988037109,29.2866058349609
77,-77.4728012084960,39.0480957031250
78,-95.5233001708984,29.8737945556640
79,-97.8219985961914,37.7510070800781
80,-71.1662979125976,42.7117004394531
81,78.1195068359375,9.9190063476563
82,-75.1573028564453,38.4653930664062
83,-83.8410034179687,39.4521942138671
84,-81.7380981445312,41.0390014648437
85,-82.8798980712890,40.0325927734375
86,-77.3768997192382,34.7769927978515
87,-92.2742004394531,35.6027069091796
88,-92.4088973999023,34.8504028320312
89,-80.5386962890625,35.9185028076171
90,-75.3322982788085,39.7505035400390
91,-81.4972991943359,40.8115997314453
92,-76.6223983764648,39.2644958496093
93,-97.1597976684570,33.1069946289062
94,-93.3022003173828,45.1932067871093
95,-97.8219985961914,37.7510070800781
96,-77.7333984375000,43.1233978271484
97,-89.8964996337890,38.5682067871093
98,-80.0649032592773,42.1826934814453
99,-71.0326004028320,42.3363952636718
100,-82.6300964355468,28.3526000976562
101,-87.6576004028320,41.6963043212890
102,-89.2715988159179,43.1004028320312
103,-95.0474014282226,29.6914978027343
104,-73.8600006103515,40.8220062255859
105,-74.1913986206054,40.8022003173828
106,-123.7977981567380,46.1558074951171
107,-86.1299972534179,39.5991973876953
108,-93.2382965087890,38.6920928955078
109,-104.9868011474600,39.7388000488281
110,-83.4655990600585,42.3312988281250
111,-74.0000000000000,40.7156982421875
112,-122.4176025390620,37.7794036865234
113,-74.0000000000000,40.7156982421875
114,-97.4256973266601,32.9073944091796
115,-97.8219985961914,37.7510070800781
116,-73.6696014404296,42.7272949218750
117,-84.5893020629882,33.8983001708984
118,-95.5301971435546,30.0408935546875
119,-71.4130020141601,41.9510955810546
120,-82.3860015869140,29.6138000488281
121,-84.5455017089843,38.2131958007812
122,-81.9810028076171,35.0460052490234
123,-119.1295013427730,36.3000946044921
124,-84.4229965209960,38.0052032470703
125,-88.2822036743164,40.1015930175781
126,-71.6881027221679,43.7574005126953
127,-95.4552993774414,29.8834075927734
128,-88.3527984619140,33.4795989990234
129,-85.2065963745117,42.2967071533203
130,-83.3834991455078,43.4833068847656
131,-74.1604003906250,40.9571990966796
132,-86.3314971923828,43.3903961181640
133,-97.7482986450195,26.1813049316406
134,-74.0000000000000,40.7156982421875
135,-80.6163024902343,36.5001983642578
136,-115.3104019165030,36.0588073730468
137,-81.5316009521484,28.8023986816406
138,-83.3581008911132,44.4454956054687
139,-77.4728012084960,39.0480957031250
140,-73.8882980346679,40.6994018554687
141,-86.0693969726562,39.6757049560546
142,-79.4729995727539,35.1873016357421
143,-76.6288986206054,39.2957000732421
144,-82.7498016357421,28.1389007568359
145,-74.1004028320312,41.0428924560546
146,-93.6801986694335,41.5821990966796
